"","Date","region","total confirmed cases","new cases","interventions"
"1",2020-01-25,"NSW",3,3,NA
"2",2020-01-25,"WA",0,0,NA
"3",2020-01-25,"VIC",1,1,NA
"4",2020-01-25,"SA",0,0,NA
"5",2020-01-25,"ACT",0,0,NA
"6",2020-01-25,"NT",0,0,NA
"7",2020-01-25,"QLD",0,0,NA
"8",2020-01-25,"TAS",0,0,NA
"9",2020-01-25,"AUS",4,4,NA
"10",2020-01-26,"NSW",3,0,NA
"11",2020-01-26,"WA",0,0,NA
"12",2020-01-26,"VIC",1,0,NA
"13",2020-01-26,"SA",0,0,NA
"14",2020-01-26,"ACT",0,0,NA
"15",2020-01-26,"NT",0,0,NA
"16",2020-01-26,"QLD",0,0,NA
"17",2020-01-26,"TAS",0,0,NA
"18",2020-01-26,"AUS",4,0,NA
"19",2020-01-27,"NSW",3,0,NA
"20",2020-01-27,"WA",0,0,NA
"21",2020-01-27,"VIC",1,0,NA
"22",2020-01-27,"SA",0,0,NA
"23",2020-01-27,"ACT",0,0,NA
"24",2020-01-27,"NT",0,0,NA
"25",2020-01-27,"QLD",0,0,NA
"26",2020-01-27,"TAS",0,0,NA
"27",2020-01-27,"AUS",4,0,NA
"28",2020-01-28,"NSW",3,0,NA
"29",2020-01-28,"WA",0,0,NA
"30",2020-01-28,"VIC",1,0,NA
"31",2020-01-28,"SA",0,0,NA
"32",2020-01-28,"ACT",0,0,NA
"33",2020-01-28,"NT",0,0,NA
"34",2020-01-28,"QLD",0,0,NA
"35",2020-01-28,"TAS",0,0,NA
"36",2020-01-28,"AUS",4,0,NA
"37",2020-01-29,"NSW",3,0,NA
"38",2020-01-29,"WA",0,0,NA
"39",2020-01-29,"VIC",2,1,NA
"40",2020-01-29,"SA",0,0,NA
"41",2020-01-29,"ACT",0,0,NA
"42",2020-01-29,"NT",0,0,NA
"43",2020-01-29,"QLD",0,0,"Public health emergency is declared."
"44",2020-01-29,"TAS",0,0,NA
"45",2020-01-29,"AUS",5,1,NA
"46",2020-01-30,"NSW",3,0,NA
"47",2020-01-30,"WA",0,0,NA
"48",2020-01-30,"VIC",3,1,NA
"49",2020-01-30,"SA",0,0,NA
"50",2020-01-30,"ACT",0,0,NA
"51",2020-01-30,"NT",0,0,NA
"52",2020-01-30,"QLD",2,2,NA
"53",2020-01-30,"TAS",0,0,NA
"54",2020-01-30,"AUS",8,3,NA
"55",2020-01-31,"NSW",3,0,NA
"56",2020-01-31,"WA",0,0,NA
"57",2020-01-31,"VIC",3,0,NA
"58",2020-01-31,"SA",0,0,NA
"59",2020-01-31,"ACT",0,0,NA
"60",2020-01-31,"NT",0,0,NA
"61",2020-01-31,"QLD",2,0,NA
"62",2020-01-31,"TAS",0,0,NA
"63",2020-01-31,"AUS",8,0,NA
"64",2020-02-01,"NSW",3,0,NA
"65",2020-02-01,"WA",0,0,NA
"66",2020-02-01,"VIC",4,1,NA
"67",2020-02-01,"SA",2,2,NA
"68",2020-02-01,"ACT",0,0,NA
"69",2020-02-01,"NT",0,0,NA
"70",2020-02-01,"QLD",2,0,NA
"71",2020-02-01,"TAS",0,0,NA
"72",2020-02-01,"AUS",11,3,"Chinese nationals banned from entry and returning Aussies forced to self-isolate for 2 weeks"
"73",2020-02-02,"NSW",3,0,NA
"74",2020-02-02,"WA",0,0,NA
"75",2020-02-02,"VIC",4,0,NA
"76",2020-02-02,"SA",2,0,NA
"77",2020-02-02,"ACT",0,0,NA
"78",2020-02-02,"NT",0,0,NA
"79",2020-02-02,"QLD",2,0,NA
"80",2020-02-02,"TAS",0,0,NA
"81",2020-02-02,"AUS",11,0,NA
"82",2020-02-03,"NSW",3,0,NA
"83",2020-02-03,"WA",0,0,NA
"84",2020-02-03,"VIC",4,0,NA
"85",2020-02-03,"SA",2,0,NA
"86",2020-02-03,"ACT",0,0,NA
"87",2020-02-03,"NT",0,0,NA
"88",2020-02-03,"QLD",2,0,NA
"89",2020-02-03,"TAS",0,0,NA
"90",2020-02-03,"AUS",11,0,NA
"91",2020-02-04,"NSW",3,0,NA
"92",2020-02-04,"WA",0,0,NA
"93",2020-02-04,"VIC",4,0,NA
"94",2020-02-04,"SA",2,0,NA
"95",2020-02-04,"ACT",0,0,NA
"96",2020-02-04,"NT",0,0,NA
"97",2020-02-04,"QLD",3,1,NA
"98",2020-02-04,"TAS",0,0,NA
"99",2020-02-04,"AUS",12,1,NA
"100",2020-02-05,"NSW",3,0,NA
"101",2020-02-05,"WA",0,0,NA
"102",2020-02-05,"VIC",4,0,NA
"103",2020-02-05,"SA",2,0,NA
"104",2020-02-05,"ACT",0,0,NA
"105",2020-02-05,"NT",0,0,NA
"106",2020-02-05,"QLD",4,1,NA
"107",2020-02-05,"TAS",0,0,NA
"108",2020-02-05,"AUS",13,1,NA
"109",2020-02-06,"NSW",3,0,NA
"110",2020-02-06,"WA",0,0,NA
"111",2020-02-06,"VIC",4,0,NA
"112",2020-02-06,"SA",2,0,NA
"113",2020-02-06,"ACT",0,0,NA
"114",2020-02-06,"NT",0,0,NA
"115",2020-02-06,"QLD",5,1,NA
"116",2020-02-06,"TAS",0,0,NA
"117",2020-02-06,"AUS",14,1,NA
"118",2020-02-07,"NSW",3,0,NA
"119",2020-02-07,"WA",0,0,NA
"120",2020-02-07,"VIC",4,0,NA
"121",2020-02-07,"SA",2,0,NA
"122",2020-02-07,"ACT",0,0,NA
"123",2020-02-07,"NT",0,0,NA
"124",2020-02-07,"QLD",5,0,NA
"125",2020-02-07,"TAS",0,0,NA
"126",2020-02-07,"AUS",14,0,NA
"127",2020-02-08,"NSW",3,0,NA
"128",2020-02-08,"WA",0,0,NA
"129",2020-02-08,"VIC",4,0,NA
"130",2020-02-08,"SA",2,0,NA
"131",2020-02-08,"ACT",0,0,NA
"132",2020-02-08,"NT",0,0,NA
"133",2020-02-08,"QLD",5,0,NA
"134",2020-02-08,"TAS",0,0,NA
"135",2020-02-08,"AUS",14,0,NA
"136",2020-02-09,"NSW",3,0,NA
"137",2020-02-09,"WA",0,0,NA
"138",2020-02-09,"VIC",4,0,NA
"139",2020-02-09,"SA",2,0,NA
"140",2020-02-09,"ACT",0,0,NA
"141",2020-02-09,"NT",0,0,NA
"142",2020-02-09,"QLD",5,0,NA
"143",2020-02-09,"TAS",0,0,NA
"144",2020-02-09,"AUS",14,0,NA
"145",2020-02-10,"NSW",3,0,NA
"146",2020-02-10,"WA",0,0,NA
"147",2020-02-10,"VIC",4,0,NA
"148",2020-02-10,"SA",2,0,NA
"149",2020-02-10,"ACT",0,0,NA
"150",2020-02-10,"NT",0,0,NA
"151",2020-02-10,"QLD",5,0,NA
"152",2020-02-10,"TAS",0,0,NA
"153",2020-02-10,"AUS",14,0,NA
"154",2020-02-11,"NSW",3,0,NA
"155",2020-02-11,"WA",0,0,NA
"156",2020-02-11,"VIC",4,0,NA
"157",2020-02-11,"SA",2,0,NA
